Unnamed: 0,X,y,y2
0,0.225,2334.560059,523.3928971738477
1,0.517,4206.660156,1651.8808900216334
2,0.206,309.9500122,449.96388394060136
3,0.264,209.5899963,674.1156085473534
4,0.41,110.8700027,1238.3596049712462
5,0.212,25.78000069,473.1519933826792
6,0.16,101.2799988,272.188378218005
7,0.243,105.6200027,592.9572255000811
8,0.27,121.2699966,697.3037179894311
9,0.345,5373.850098,987.1550860154034
10,0.193,822.8099976,399.7229801494328
11,0.31,69.23000336,851.8911142699496
12,0.476,1049.130005,1493.4288088341018
13,0.332,202.2100067,936.914182224235
14,0.219,437.4700012,500.2047877317699
15,0.287,78.70999908,763.0033614086515
16,0.242,612.4299927000001,589.0925405930681
17,0.551,1730.790039,1783.2801768600743
18,0.574,478.8500061,1872.1679297213725
19,0.338,157.4299927,960.1022916663128
20,0.404,1373.209961,1215.1714955291684
21,0.422,1399.810059,1284.7358238554018
22,0.593,829.9799805,1945.5969429546185
23,0.603,1036.650024,1984.2437920247485
24,0.236,-573.6099854,565.9044311509903
25,0.244,1868.719971,596.821910407094
26,0.438,131.9100037,1346.5707823676091
27,0.184,209.6100006,364.9408159863161
28,0.219,174.4799957,500.2047877317699
29,0.49,256.1400146,1547.5343975322833
30,0.278,64.16000366,728.221197245535
31,0.236,554.8300171000001,565.9044311509903
32,0.269,343.1600037,693.4390330824183
33,0.328,626.6699828999999,921.455442596183
34,0.401,5.949999809,1203.5774408081295
35,0.506,60.70999908,1609.3693560444908
36,0.502,5301.660156,1593.9106164164389
37,0.263,193.6399994,670.2509236403404
38,0.29,53.20000076,774.5974161296904
39,0.198,1040.859985,419.0464046844977
40,0.368,2204.159912,1076.0428388767016
41,0.208,69.51000214,457.69325375462734
42,0.365,472.3599854,1064.448784155663
43,0.534,723.4699707000001,1717.5805334408535
44,0.517,147.2400055,1651.8808900216334
45,0.279,51.86999893,732.0858821525478
46,0.46,886.8499756,1431.5938503218945
47,0.379,1432.630005,1118.5543728538444
48,0.358,1794.209961,1037.395989806572
49,0.291,1232.869995,778.4621010367034
50,0.321,2359.149902,894.4026482470924
51,0.287,66.61000061,763.0033614086515
52,0.277,3114.0,724.356512338522
53,0.186,70.40000153,372.6701858003421
54,0.422,3987.860107,1284.7358238554018
55,0.377,58.02000046,1110.8250030398185
56,0.274,1417.579956,712.762457617483
57,0.479,170.4900055,1505.0228635551407
58,0.52,652.0999756,1663.4749447426725
59,0.297,295.9899902,801.6502104787812
60,0.499,1289.52002,1582.3165616954
61,0.484,1453.130005,1524.3462880902057
62,0.194,-5.21999979,403.5876650564458
63,0.266,311.1600037,681.8449783613794
64,0.573,1565.51001,1868.3032448143597
65,0.361,183.0599976,1048.990044527611
66,0.444,644.460022,1369.758891809687
67,0.196,334.9700012,411.3170348704717
68,0.244,936.0599976,596.821910407094
69,0.255,699.1599731,639.3334443842367
70,0.174,203.8800049,326.2939669161865
71,0.321,1828.349976,894.4026482470924
72,0.547,2547.300049,1767.8214372320226
73,0.4,2870.320068,1199.712755901117
74,0.367,180.1000061,1072.1781539696888
75,0.396,1758.400024,1184.2540162730647
76,0.346,599.9099731,991.0197709224165
77,0.599,1928.449951,1968.7850523966963
78,0.465,3375.47998,1450.9172748569592
79,0.226,282.2399902,527.2575820808607
80,0.457,2590.97998,1419.9997956008556
81,0.227,66.23000336,531.1222669878737
82,0.199,394.6700134,422.9110895915106
83,0.44,1055.030029,1354.3001521816352
84,0.27,304.2399902,697.3037179894311
85,0.238,488.7000122,573.6338009650162
86,0.29,1456.219971,774.5974161296904
87,0.468,1624.449951,1462.511329577998
88,0.288,166.6100006,766.8680463156645
89,0.381,91.84999847,1126.2837426678702
90,0.487,1610.969971,1535.9403428112444
91,0.196,480.1000061,411.3170348704717
92,0.525,836.7999877999999,1682.7983692777373
93,0.435,214.2599945,1334.9767276465702
94,0.273,1202.97998,708.89777271047
95,0.614,1820.319946,2026.7553260018908
96,0.22,217.5599976,504.0694726387829
97,0.49,2347.719971,1547.5343975322833
98,0.257,27.09000015,647.0628141982626
99,0.423,10005.980469,1288.6005087624146
100,0.336,751.2299805,952.3729218522868
101,0.198,197.8500061,419.0464046844977
102,0.386,249.6799927,1145.607167202935
103,0.465,560.8800049,1450.9172748569592
104,0.255,162.8899994,639.3334443842367
105,0.263,974.9099731,670.2509236403404
106,0.259,35.41999817,654.7921840122885
107,0.361,42.91999817,1048.990044527611
108,0.476,3082.590088,1493.4288088341018
109,0.279,1459.23999,732.0858821525478
110,0.392,154.0,1168.7952766450128
111,0.43,1015.869995,1315.6533031115057
112,0.4,984.0700073,1199.712755901117
