alpha,beta,llhd
0.1,0.1,-5498.03028299919
1.14736842105263,0.1,-5114.37072270004
2.19473684210526,0.1,-5001.85377271805
3.24210526315789,0.1,-4929.72737970779
4.28947368421053,0.1,-4879.52289786446
5.33684210526316,0.1,-4845.6316941031
6.38421052631579,0.1,-4824.84907663911
7.43157894736842,0.1,-4814.69002285061
8.47894736842105,0.1,-4813.06057946695
9.52631578947368,0.1,-4818.1854081488
10.5736842105263,0.1,-4828.58596323966
11.6210526315789,0.1,-4843.0583369201
12.6684210526316,0.1,-4860.64043952782
13.7157894736842,0.1,-4880.57309559246
14.7631578947368,0.1,-4902.26158631391
15.8105263157895,0.1,-4925.24159946374
16.8578947368421,0.1,-4949.15096546663
17.9052631578947,0.1,-4973.70705292408
18.9526315789474,0.1,-4998.68906167022
20.0,0.1,-5023.92430035976
0.1,2.72631578947368,-5166.07262335385
1.14736842105263,2.72631578947368,-5013.04945120483
2.19473684210526,2.72631578947368,-4931.00376406113
3.24210526315789,2.72631578947368,-4875.71198434003
4.28947368421053,2.72631578947368,-4838.62379431659
5.33684210526316,2.72631578947368,-4815.67781213274
6.38421052631579,2.72631578947368,-4804.01577157212
7.43157894736842,2.72631578947368,-4801.34594856453
8.47894736842105,2.72631578947368,-4805.77278759821
9.52631578947368,2.72631578947368,-4815.7341129151
10.5736842105263,2.72631578947368,-4829.96254318994
11.6210526315789,2.72631578947368,-4847.44651733302
12.6684210526316,2.72631578947368,-4867.38849989132
13.7157894736842,2.72631578947368,-4889.16441961952
14.7631578947368,2.72631578947368,-4912.28777000446
15.8105263157895,2.72631578947368,-4936.37974158901
16.8578947368421,2.72631578947368,-4961.14529678297
17.9052631578947,2.72631578947368,-4986.35442018651
18.9526315789474,2.72631578947368,-5011.82759552267
20.0,2.72631578947368,-5037.42461497331
0.1,5.35263157894737,-5046.74030991118
1.14736842105263,5.35263157894737,-4939.64054522087
2.19473684210526,5.35263157894737,-4876.10597207517
3.24210526315789,5.35263157894737,-4834.45044334887
4.28947368421053,5.35263157894737,-4808.53072858452
5.33684210526316,5.35263157894737,-4794.81085371669
6.38421052631579,5.35263157894737,-4790.68879258803
7.43157894736842,5.35263157894737,-4794.10038999778
8.47894736842105,5.35263157894737,-4803.37673935913
9.52631578947368,5.35263157894737,-4817.17263811555
10.5736842105263,5.35263157894737,-4834.41563175766
11.6210526315789,5.35263157894737,-4854.26005771328
12.6684210526316,5.35263157894737,-4876.04431956727
13.7157894736842,5.35263157894737,-4899.25312773253
14.7631578947368,5.35263157894737,-4923.48587569525
15.8105263157895,5.35263157894737,-4948.43116044237
16.8578947368421,5.35263157894737,-4973.84674603492
17.9052631578947,5.35263157894737,-4999.54402322361
18.9526315789474,5.35263157894737,-5025.37603709262
20.0,5.35263157894737,-5051.22828340544
0.1,7.97894736842105,-4964.26648906689
1.14736842105263,7.97894736842105,-4882.78856783484
2.19473684210526,7.97894736842105,-4834.01475783422
3.24210526315789,7.97894736842105,-4803.90826527088
4.28947368421053,7.97894736842105,-4787.39519530701
5.33684210526316,7.97894736842105,-4781.316056421
6.38421052631579,7.97894736842105,-4783.33828590973
7.43157894736842,7.97894736842105,-4791.64268453406
8.47894736842105,7.97894736842105,-4804.78507502229
9.52631578947368,7.97894736842105,-4821.61858040391
10.5736842105263,7.97894736842105,-4841.23859502671
11.6210526315789,7.97894736842105,-4862.9368708987
12.6684210526316,7.97894736842105,-4886.16180872954
13.7157894736842,7.97894736842105,-4910.48500273642
14.7631578947368,7.97894736842105,-4935.574020696
15.8105263157895,7.97894736842105,-4961.17084254162
16.8578947368421,7.97894736842105,-4987.07506916788
17.9052631578947,7.97894736842105,-5013.13096718676
18.9526315789474,7.97894736842105,-5039.21751267981
20.0,7.97894736842105,-5065.2407428877
0.1,10.6052631578947,-4901.9622699642
1.14736842105263,10.6052631578947,-4839.07600259048
2.19473684210526,10.6052631578947,-4802.61685869436
3.24210526315789,10.6052631578947,-4782.22367111903
4.28947368421053,10.6052631578947,-4773.52160527225
5.33684210526316,10.6052631578947,-4773.69697314111
6.38421052631579,10.6052631578947,-4780.69045752546
7.43157894736842,10.6052631578947,-4792.91991608054
8.47894736842105,10.6052631578947,-4809.14497111188
9.52631578947368,10.6052631578947,-4828.38958438572
10.5736842105263,10.6052631578947,-4849.88879857741
11.6210526315789,10.6052631578947,-4873.04626720682
12.6684210526316,10.6052631578947,-4897.39888228872
13.7157894736842,10.6052631578947,-4922.58771299461
14.7631578947368,10.6052631578947,-4948.33472450424
15.8105263157895,10.6052631578947,-4974.42450495768
16.8578947368421,10.6052631578947,-5000.69010829598
17.9052631578947,10.6052631578947,-5027.00215991037
18.9526315789474,10.6052631578947,-5053.26049274265
20.0,10.6052631578947,-5079.38772226492
0.1,13.2315789473684,-4854.41245216064
1.14736842105263,13.2315789473684,-4806.18372834945
2.19473684210526,13.2315789473684,-4780.02358269982
3.24210526315789,13.2315789473684,-4767.72054254156
4.28947368421053,13.2315789473684,-4765.44717710273
5.33684210526316,13.2315789473684,-4770.71559014317
6.38421052631579,13.2315789473684,-4781.72486050198
7.43157894736842,13.2315789473684,-4797.10653653964
8.47894736842105,13.2315789473684,-4815.79611364647
9.52631578947368,13.2315789473684,-4836.96050484742
10.5736842105263,13.2315789473684,-4859.94932725486
11.6210526315789,13.2315789473684,-4884.25699243378
12.6684210526316,13.2315789473684,-4909.49173739065
13.7157894736842,13.2315789473684,-4935.35051537389
14.7631578947368,13.2315789473684,-4961.59904834219
15.8105263157895,13.2315789473684,-4988.0562483216
16.8578947368421,13.2315789473684,-5014.58218093741
17.9052631578947,13.2315789473684,-5041.06881503395
18.9526315789474,13.2315789473684,-5067.43292350138
20.0,13.2315789473684,-5093.61062858952
0.1,15.8578947368421,-4818.47434056697
1.14736842105263,15.8578947368421,-4782.14546096282
2.19473684210526,15.8578947368421,-4764.57262537443
3.24210526315789,15.8578947368421,-4758.96865665517
4.28947368421053,15.8578947368421,-4761.96794942823
5.33684210526316,15.8578947368421,-4771.38164276302
6.38421052631579,15.8578947368421,-4785.64081646497
7.43157894736842,15.8578947368421,-4803.56202779194
8.47894736842105,15.8578947368421,-4824.22890116375
9.52631578947368,15.8578947368421,-4846.92659609496
10.5736842105263,15.8578947368421,-4871.09847363953
11.6210526315789,15.8578947368421,-4896.31276356078
12.6684210526316,15.8578947368421,-4922.2355829622
13.7157894736842,15.8578947368421,-4948.60920631211
14.7631578947368,15.8578947368421,-4975.23487925296
15.8105263157895,15.8578947368421,-5001.9594330289
16.8578947368421,15.8578947368421,-5028.66495790427
17.9052631578947,15.8578947368421,-5055.26087216505
18.9526315789474,15.8578947368421,-5081.6778362564
20.0,15.8578947368421,-5107.8630756763
0.1,18.4842105263158,-4791.82870692909
1.14736842105263,18.4842105263158,-4765.28668166215
2.19473684210526,18.4842105263158,-4754.86198274855
3.24210526315789,18.4842105263158,-4754.79558303167
4.28947368421053,18.4842105263158,-4762.12118289232
5.33684210526316,18.4842105263158,-4774.91676736507
6.38421052631579,18.4842105263158,-4791.81532771449
7.43157894736842,18.4842105263158,-4811.79039644794
8.47894736842105,18.4842105263158,-4834.04916703402
9.52631578947368,18.4842105263158,-4857.97442427678
10.5736842105263,18.4842105263158,-4883.08647264822
11.6210526315789,18.4842105263158,-4909.0139608996
12.6684210526316,18.4842105263158,-4935.47034502421
13.7157894736842,18.4842105263158,-4962.23498972867
14.7631578947368,18.4842105263158,-4989.13825582692
15.8105263157895,18.4842105263158,-5016.04990286769
16.8578947368421,18.4842105263158,-5042.87014976671
17.9052631578947,18.4842105263158,-5069.52281193547
18.9526315789474,18.4842105263158,-5095.95003552742
20.0,18.4842105263158,-5122.10825022338
0.1,21.1105263157895,-4772.64852043161
1.14736842105263,21.1105263157895,-4754.21784925844
2.19473684210526,21.1105263157895,-4749.74648613812
3.24210526315789,21.1105263157895,-4754.26297472974
4.28947368421053,21.1105263157895,-4765.148046279
5.33684210526316,21.1105263157895,-4780.71312898736
6.38421052631579,21.1105263157895,-4799.7640599118
7.43157894736842,21.1105263157895,-4821.40646891216
8.47894736842105,21.1105263157895,-4844.95048157369
9.52631578947368,21.1105263157895,-4869.8597409922
10.5736842105263,21.1105263157895,-4895.71809412238
11.6210526315789,21.1105263157895,-4922.20403275762
12.6684210526316,21.1105263157895,-4949.07007337854
13.7157894736842,21.1105263157895,-4976.12621669679
14.7631578947368,21.1105263157895,-5003.22691002539
15.8105263157895,21.1105263157895,-5030.26091667626
16.8578947368421,21.1105263157895,-5057.1435115393
17.9052631578947,21.1105263157895,-5083.8104914406
18.9526315789474,21.1105263157895,-5110.21358014251
20.0,21.1105263157895,-5136.31689692803
0.1,23.7368421052632,-4759.47819938084
1.14736842105263,23.7368421052632,-4747.81025989706
2.19473684210526,23.7368421052632,-4748.30804285162
3.24210526315789,23.7368421052632,-4756.62841218877
4.28947368421053,23.7368421052632,-4770.4533411619
5.33684210526316,23.7368421052632,-4788.29604099177
6.38421052631579,23.7368421052632,-4809.10922974462
7.43157894736842,23.7368421052632,-4832.10954410015
8.47894736842105,23.7368421052632,-4856.693105543
9.52631578947368,23.7368421052632,-4882.390916628
10.5736842105263,23.7368421052632,-4908.83969453095
11.6210526315789,23.7368421052632,-4935.7593980801
12.6684210526316,23.7368421052632,-4962.9350614225
13.7157894736842,23.7368421052632,-4990.202219292
14.7631578947368,23.7368421052632,-5017.43542396952
15.8105263157895,23.7368421052632,-5044.53932734365
16.8578947368421,23.7368421052632,-5071.44181373493
17.9052631578947,23.7368421052632,-5098.08873136565
18.9526315789474,23.7368421052632,-5124.43985168914
20.0,23.7368421052632,-5150.46576478896
0.1,26.3631578947368,-4751.15831573324
1.14736842105263,26.3631578947368,-4745.15806714006
2.19473684210526,26.3631578947368,-4749.81684348998
3.24210526315789,26.3631578947368,-4761.3065181667
4.28947368421053,26.3631578947368,-4777.56987157022
5.33684210526316,26.3631578947368,-4797.29344862634
6.38421052631579,26.3631578947368,-4819.55456505964
7.43157894736842,26.3631578947368,-4843.66336921051
8.47894736842105,26.3631578947368,-4869.08820742722
9.52631578947368,26.3631578947368,-4895.41658951867
10.5736842105263,26.3631578947368,-4922.3295749505
11.6210526315789,26.3631578947368,-4949.58191428732
12.6684210526316,26.3631578947368,-4976.98594711617
13.7157894736842,26.3631578947368,-5004.3986733966
14.7631578947368,26.3631578947368,-5031.71156864825
15.8105263157895,26.3631578947368,-5058.84267732514
16.8578947368421,26.3631578947368,-5085.73052699895
17.9052631578947,26.3631578947368,-5112.32946122961
18.9526315789474,26.3631578947368,-5138.60606160703
20.0,26.3631578947368,-5164.53639986145
0.1,28.9894736842105,-4746.76522562839
1.14736842105263,28.9894736842105,-4745.53780982156
2.19473684210526,28.9894736842105,-4753.69396554462
3.24210526315789,28.9894736842105,-4767.83516254433
4.28947368421053,28.9894736842105,-4786.12951605092
5.33684210526316,28.9894736842105,-4807.41214989462
6.38421052631579,28.9894736842105,-4830.86624671276
