dis,sNumber,sTag,servArea,totInc,emInc,numStand,perMet,90Avg,q,ranked
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,72,71,65,91.5,6.7,1,29
WESTERN D3,63,FS63,Geelong City,231,222,203,91.4,7.7,1,30
CENTRAL,35,FS35,Windsor,634,598,546,91.3,7.6,1,31
NORTH & WEST REGIONAL,68,FS68,Lucas,49,44,40,90.9,7.6,1,32
SOUTHERN D1,33,FS33,Mentone,162,143,129,90.2,8.0,1,33
EASTERN,19,FS19,North Balwyn,141,121,109,90.1,7.7,1,34
SOUTHERN D1,32,FS32,Ormond,220,206,185,89.8,7.8,1,35
NORTH & WEST REGIONAL,71,FS71,Portland,32,29,26,89.7,7.6,1,36
EASTERN,84,FS84,South Warrandyte,23,19,17,89.5,8.9,1,37
CENTRAL,18,FS18,Hawthorn,267,244,218,89.3,7.9,1,38
SOUTHERN D2,91,FS91,Frankston,289,281,251,89.3,7.9,1,39
CENTRAL,50,FS50,Ascot Vale,221,213,190,89.2,7.9,1,40
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,59,55,49,89.1,8.1,1,41
CENTRAL,39,FS39,Port Melbourne,178,173,154,89.0,8.3,1,42
NORTHERN,16,FS16,Greensborough,91,80,71,88.8,8.9,1,43
EASTERN,27,FS27,Nunawading,145,134,119,88.8,8.3,1,44
NORTHERN,5,FS5,Broadmeadows,260,239,212,88.7,8.2,1,45
CENTRAL,13,FS13,Northcote,209,186,165,88.7,7.9,1,46
EASTERN,82,FS82,Eltham City,76,60,53,88.3,8.0,1,47
NORTH & WEST REGIONAL,72,FS72,Mildura,141,129,113,87.6,8.3,1,48
WESTERN D2,43,FS43,Deer Park,148,134,117,87.3,8.4,1,49
NORTHERN,11,FS11,Epping,145,132,115,87.1,8.3,1,50
SOUTHERN D2,95,FS95,Rosebud,70,62,54,87.1,7.7,1,51
NORTH & WEST REGIONAL,70,FS70,Warrnambool,125,115,100,87.0,7.9,1,52
EASTERN,30,FS30,Templestowe,92,83,72,86.7,8.0,1,53
SOUTHERN D1,29,FS29,Clayton,123,110,95,86.4,8.0,1,54
SOUTHERN D1,31,FS31,Glen Waverley,299,287,248,86.4,8.1,1,55
