dis,sNumber,sTag,servArea,totInc,emInc,numStand,perMet,90Avg,q,ranked
SOUTHERN D2,93,FS93,Pakenham,102,85,70,82.4,9.75,4,58
CENTRAL,13,FS13,Northcote,182,141,116,82.3,8.58,4,59
NORTH & WEST REGIONAL,70,FS70,Warrnambool,104,90,74,82.2,8.7,4,60
EASTERN,19,FS19,North Balwyn,147,122,100,82.0,9.2,4,61
SOUTHERN D1,32,FS32,Ormond,250,206,169,82.0,8.6,4,62
SOUTHERN D1,89,FS89,Springvale,202,157,128,81.5,8.62,4,63
WESTERN D3,62,FS62,Corio,207,165,134,81.2,8.13,4,64
NORTH & WEST REGIONAL,73,FS73,Bendigo,214,188,152,80.9,8.57,4,65
SOUTH & EAST REGIONAL,76,FS76,Wodonga,115,99,80,80.8,8.45,4,66
SOUTHERN D2,92,FS92,Cranbourne,230,177,143,80.8,9.08,4,67
SOUTHERN D1,34,FS34,Highett,235,185,149,80.5,8.37,4,68
NORTHERN,5,FS5,Broadmeadows,260,206,165,80.1,8.57,4,69
EASTERN,84,FS84,South Warrandyte,36,25,20,80.0,8.42,4,70
WESTERN D1,45,FS45,Spotswood,159,116,92,79.3,8.8,4,71
NORTHERN,6,FS6,Pascoe Vale,164,129,102,79.1,9.2,4,72
WESTERN D2,43,FS43,Deer Park,141,115,91,79.1,8.82,4,73
WESTERN D1,40,FS40,Laverton,92,71,56,78.9,8.87,4,74
SOUTHERN D2,90,FS90,Patterson River,94,74,57,77.0,9.68,4,75
WESTERN D2,53,FS53,Sunbury,92,77,59,76.6,9.18,4,76
NORTHERN,80,FS80,Craigieburn,158,120,91,75.8,9.4,4,77
WESTERN D2,56,FS56,Melton,246,209,158,75.6,9.5,4,78
WESTERN D1,58,FS58,Point Cook,147,127,96,75.6,10.47,4,79
WESTERN D2,52,FS52,Tullamarine,123,103,75,72.8,9.48,4,80
WESTERN D2,54,FS54,Greenvale,65,54,37,68.5,10.97,4,81
WESTERN D1,57,FS57,Tarneit,259,209,140,67.0,10.97,4,82
WESTERN D3,61,FS61,Lara,64,57,38,66.7,10.42,4,83
WESTERN D2,55,FS55,Caroline Springs,195,158,103,65.2,9.98,4,84
WESTERN D1,59,FS59,Derrimut,125,108,70,64.8,9.33,4,85
