ID,Name,Mobility,State,Population,Urban,Black,Seg_racial,Seg_income,Seg_poverty,Seg_affluence,Commute,Income,Gini,Share01,Gini_99,Middle_class,Local_tax_rate,Local_gov_spending,Progressivity,EITC,School_spending,Student_teacher_ratio,Test_scores,HS_dropout,Colleges,Tuition,Graduation,Labor_force_participation,Manufacturing,Chinese_imports,Teenage_labor,Migration_in,Migration_out,Foreign_born,Social_capital,Religious,Violent_crime,Single_mothers,Divorced,Married,Longitude,Latitude
15900,Columbus,0.049094066,OH,1663807,1,0.124,0.269,0.122,0.106,0.139,0.271,40286,0.451,14.001,0.311,0.545,0.029,2301.0,2.66,0.0,6.531,19.0,3.69,,0.013,8030.0,0.107,0.692,0.119,0.845,0.005,0.02,0.019,0.044,0.61,0.363,0.003,0.228,0.11,0.527,-82.7316818237305,39.9555130004883
16000,Mansfield,0.0644607842,OH,326186,1,0.051,0.231,0.041,0.04,0.041,0.403,33186,0.335,7.903,0.256,0.64,0.022,1713.0,2.66,0.0,5.248,18.9,4.968,,0.015,6365.0,-0.016,0.622,0.283,1.275,0.005,0.013,0.013,0.012,0.992,0.395,0.001,0.206,0.113,0.572,-82.7405624389648,40.6658096313477
16100,State College,0.1131276488,PA,310658,1,0.023,0.195,0.055,0.054,0.058,0.397,28923,0.373,8.759,0.285,0.613,0.02,1367.0,0.0,0.0,6.981,17.8,6.352,-0.013,0.019,7303.0,0.432,0.582,0.159,0.907,0.004,0.013,0.015,0.029,0.295,0.464,0.001,0.153,0.071,0.528,-78.1835327148438,40.8506507873535
16200,Altoona,0.1023769081,PA,411749,1,0.017,0.163,0.038,0.042,0.034,0.391,30392,0.371,9.835,0.272,0.622,0.018,1550.0,0.0,0.0,7.147,18.1,7.231,-0.015,0.017,7679.0,0.241,0.57,0.154,1.449,0.003,0.006,0.008,0.01,0.938,0.65,0.001,0.177,0.078,0.564,-78.6428298950195,40.2173004150391
16300,Pittsburgh,0.09514869,PA,2561364,1,0.075,0.323,0.081,0.069,0.089,0.287,38686,0.45,13.848,0.312,0.533,0.025,2244.0,0.0,0.0,8.199,18.1,5.035,-0.01,0.022,8789.0,0.092,0.599,0.124,0.556,0.004,0.007,0.011,0.025,0.604,0.651,0.002,0.209,0.082,0.545,-79.5761260986328,40.5679092407227
16400,Youngstown,0.0669745952,OH,809682,1,0.086,0.338,0.06,0.06,0.059,0.374,34808,0.387,10.241,0.284,0.603,0.019,1645.0,2.66,0.0,6.079,19.2,6.568,-0.016,0.025,9907.0,0.011,0.589,0.226,0.965,0.004,0.008,0.011,0.019,0.906,0.549,0.001,0.231,0.101,0.554,-80.6030731201172,41.016960144043
16500,Erie,0.0751668066,PA,659098,1,0.034,0.21,0.05,0.051,0.047,0.427,31989,0.392,10.49,0.287,0.596,0.024,2011.0,0.0,0.0,7.642,17.7,5.037,-0.008,0.021,7200.0,0.152,0.611,0.23,1.341,0.004,0.007,0.009,0.019,0.694,0.521,0.001,0.213,0.09,0.546,-79.5036315917969,41.3742065429688
16600,Roanoke,0.0640164241,VA,468038,1,0.091,0.225,0.066,0.066,0.064,0.334,34411,0.424,9.212,0.332,0.544,0.022,1632.0,0.0,0.0,6.208,16.6,3.084,-0.002,0.024,3970.0,0.206,0.62,0.171,1.109,0.005,0.008,0.009,0.027,-0.196,0.458,0.001,0.211,0.096,0.545,-80.1677627563477,37.3139152526855
16701,Elkins,0.1057993695,WV,60271,0,0.007,0.05,0.009,0.008,0.006,0.388,26302,0.391,8.336,0.307,0.56,0.009,1400.0,2.5,0.0,5.979,14.7,-6.483,-0.017,0.033,13180.0,0.152,0.539,0.118,2.177,0.004,0.005,0.005,0.006,-0.342,0.357,0.001,0.168,0.112,0.58,-79.7854919433594,38.7990913391113
16702,Morgantown,0.1049584672,WV,259942,1,0.023,0.108,0.052,0.054,0.046,0.336,28593,0.424,9.565,0.328,0.56,0.015,1641.0,2.5,0.0,6.507,16.0,-6.397,-0.008,0.027,2143.0,0.131,0.564,0.081,0.572,0.003,0.007,0.007,0.019,0.372,0.37,0.001,0.189,0.092,0.536,-80.3536605834961,39.3572540283203
16703,Buckhannon,0.1264108419,WV,40323,0,0.004,0.042,0.011,0.016,0.009,0.377,25062,0.404,7.553,0.328,0.55,0.014,1221.0,2.5,0.0,6.238,16.1,-10.275,-0.011,0.025,16800.0,0.197,0.532,0.112,0.74,0.003,0.008,0.011,0.005,-0.141,0.312,0.001,0.181,0.101,0.577,-80.3829650878906,38.926456451416
16801,Beckley,0.1064450294,WV,174251,1,0.061,0.121,0.015,0.012,0.017,0.33,28131,0.446,11.535,0.331,0.539,0.012,1317.0,2.5,0.0,6.099,16.0,-6.88,-0.002,0.029,5808.0,-0.242,0.49,0.069,0.306,0.003,0.006,0.007,0.009,-0.862,0.303,0.001,0.217,0.104,0.58,-80.8328170776367,37.9249839782715
16802,Summersville,0.1285289675,WV,58143,0,0.003,0.043,0.011,0.009,0.01,0.329,25662,0.452,13.73,0.314,0.545,0.012,1483.0,2.5,0.0,6.065,14.8,-6.952,-0.008,0.034,1027.0,-0.02,0.486,0.094,0.17,0.003,0.006,0.007,0.005,-0.593,0.322,0.002,0.175,0.101,0.595,-80.7836837768555,38.5716857910156
16901,Charleston,0.0972293913,WV,347345,1,0.044,0.177,0.057,0.05,0.059,0.28,34109,0.474,12.717,0.347,0.518,0.016,1532.0,2.5,0.0,6.254,15.7,-9.146,0.006,0.017,3243.0,-0.11,0.553,0.083,0.26,0.003,0.008,0.01,0.011,-0.087,0.3,0.002,0.21,0.113,0.573,-81.7158126831055,38.1433944702148
16902,Spencer,0.1465677172,WV,23028,0,0.002,0.011,0.007,0.007,0.004,0.268,23337,0.356,6.941,0.287,0.552,0.011,1333.0,2.5,0.0,6.717,14.8,-10.746,0.001,,,,0.491,0.141,0.231,0.003,0.013,0.009,0.006,-0.651,0.247,0.001,0.163,0.1,0.603,-81.213020324707,38.7986145019531
17000,Pikeville,0.1378403753,KY,204354,0,0.008,0.103,0.017,0.013,0.015,0.295,23076,0.474,10.775,0.366,0.501,0.011,1240.0,0.2,0.0,6.46,15.4,-2.262,0.001,0.01,3671.0,-0.142,0.435,0.054,0.023,0.002,0.003,0.006,0.004,-1.347,0.331,0.001,0.186,0.103,0.608,-82.6051483154297,37.7573471069336
17100,Huntington,0.0685057491,KY,344380,1,0.021,0.144,0.043,0.045,0.041,0.343,29101,0.467,11.153,0.355,0.519,0.014,1448.0,0.2,0.0,6.436,16.5,-2.126,0.001,0.02,2400.0,-0.038,0.541,0.122,0.45,0.003,0.007,0.008,0.009,-0.404,0.37,0.001,0.208,0.107,0.577,-82.8904647827148,38.2893447875977
17200,Harrisonburg,0.0938897133,VA,174641,1,0.024,0.107,0.034,0.037,0.033,0.378,31025,0.409,11.826,0.291,0.591,0.018,1501.0,0.0,0.0,5.499,15.9,5.775,-0.006,0.017,3568.0,0.381,0.641,0.217,1.544,0.005,0.016,0.011,0.041,-0.385,0.465,0.001,0.163,0.08,0.548,-78.7827987670898,38.7607040405273
17300,Staunton,0.0680161938,VA,188559,1,0.071,0.079,0.031,0.028,0.033,0.344,34674,0.368,7.971,0.288,0.592,0.02,1465.0,0.0,0.0,6.003,,3.633,,0.037,9809.0,0.122,0.607,0.206,3.52,0.005,0.011,0.007,0.019,-0.2,0.492,0.001,0.197,0.098,0.583,-79.5354461669922,37.8701171875
17400,Hagerstown,0.0870945826,PA,408535,1,0.047,0.164,0.035,0.036,0.034,0.298,34829,0.351,8.689,0.264,0.607,0.016,1512.0,0.0,0.0,6.288,17.4,1.236,0.007,0.015,3360.0,-0.034,0.633,0.176,1.427,0.005,0.031,0.012,0.019,-0.256,0.391,0.002,0.186,0.097,0.598,-77.9620590209961,39.7436256408691
