Date,Price,Open,High,Low,Vol,Change,Unit,vol2,Volume,Year,Source
"Aug 02, 2021","2,608.04","2,556.07","2,664.73","2,513.51",970.67K,2.03%,K,970.67,970.67,2021,
"Aug 01, 2021","2,556.23","2,530.94","2,696.38","2,515.26",1.20M,0.95%,M,1.20,1200.00,2021,
"Jul 31, 2021","2,532.19","2,461.08","2,551.68","2,421.70",507.08K,2.89%,K,507.08,507.08,2021,
"Jul 30, 2021","2,460.95","2,380.59","2,467.40","2,320.80",1.03M,3.36%,M,1.03,1030.00,2021,
"Jul 29, 2021","2,380.93","2,299.46","2,397.71","2,269.15",642.75K,3.56%,K,642.75,642.75,2021,
"Jul 28, 2021","2,299.11","2,300.21","2,343.49","2,246.23",968.94K,-0.05%,K,968.94,968.94,2021,
"Jul 27, 2021","2,300.22","2,230.24","2,318.68","2,152.92",1.25M,3.17%,M,1.25,1250.00,2021,
"Jul 26, 2021","2,229.53","2,189.74","2,430.01","2,174.44",1.89M,1.81%,M,1.89,1890.00,2021,
"Jul 25, 2021","2,189.79","2,166.98","2,195.03","2,108.74",786.94K,1.76%,K,786.94,786.94,2021,
"Jul 24, 2021","2,151.85","2,124.00","2,162.29","2,106.71",907.11K,1.33%,K,907.11,907.11,2021,
"Jul 23, 2021","2,123.61","2,024.51","2,129.66","2,000.27",961.67K,4.89%,K,961.67,961.67,2021,
"Jul 22, 2021","2,024.58","1,994.61","2,043.26","1,952.31",1.02M,1.51%,M,1.02,1020.00,2021,
"Jul 21, 2021","1,994.49","1,786.18","2,029.51","1,758.64",1.51M,11.67%,M,1.51,1510.00,2021,
"Jul 20, 2021","1,786.07","1,818.07","1,840.36","1,720.70",1.20M,-1.76%,M,1.20,1200.00,2021,
"Jul 19, 2021","1,818.07","1,891.43","1,915.15","1,807.19",802.78K,-3.93%,K,802.78,802.78,2021,
"Jul 18, 2021","1,892.42","1,898.01","1,988.24","1,881.60",829.77K,-0.29%,K,829.77,829.77,2021,
"Jul 17, 2021","1,897.98","1,877.00","1,917.80","1,851.97",623.52K,1.05%,K,623.52,623.52,2021,
"Jul 16, 2021","1,878.20","1,917.21","1,960.21","1,852.42",619.62K,-2.03%,K,619.62,619.62,2021,
"Jul 15, 2021","1,917.21","1,994.73","2,038.91","1,884.81",645.06K,-3.88%,K,645.06,645.06,2021,
"Jul 14, 2021","1,994.64","1,940.48","2,017.99","1,868.45",1.05M,2.78%,M,1.05,1050.00,2021,
"Jul 13, 2021","1,940.72","2,035.09","2,042.61","1,920.62",717.85K,-4.64%,K,717.85,717.85,2021,
"Jul 12, 2021","2,035.09","2,139.44","2,167.60","2,008.66",540.10K,-4.87%,K,540.10,540.10,2021,
"Jul 11, 2021","2,139.35","2,110.90","2,173.34","2,081.62",724.84K,1.34%,K,724.84,724.84,2021,
"Jul 10, 2021","2,111.12","2,146.15","2,191.30","2,078.43",929.32K,-1.62%,K,929.32,929.32,2021,
"Jul 09, 2021","2,145.89","2,120.05","2,185.62","2,066.09",1.42M,1.21%,M,1.42,1420.00,2021,
"Jul 08, 2021","2,120.22","2,316.21","2,322.47","2,095.92",1.82M,-8.48%,M,1.82,1820.00,2021,
"Jul 07, 2021","2,316.57","2,322.74","2,402.68","2,296.43",1.32M,-0.26%,M,1.32,1320.00,2021,
