OBJECTID_1,OBJECTID,UPlCode,UPlType,UPlName,UPlAAdmin,UPlArea,SHAPE_Leng,Shape_Le_1,UPZID,Popul_Total,Men_20,Women_20,DEN_POPUL,Cnt_UPlCod,Shape__Area,Shape__Length
27,27,UPZ111,1,PUENTE ARANDA,"Dcto. 317-26/07/2011 Mod el 062-14/02/2007 (Gac 464/2007) Mod=Res733/2007,732/2008 (Gac480/2007,504/2008)",3564474.29991,0.07876443561850001,0.0787644351393,111,15053,80.7,19.3,42.2,63,0.00029027283122200003,0.07876443513925101
28,28,UPZ102,1,LA SABANA,"Dcto. 187-17/05/2002 Mod.=Res 649/2006,348/2007,2296/2010 (Gacetas 429/2006,483/2007), Dec 335/2009",4509421.53879,0.07646898055580001,0.076468980293,102,52401,51.7,48.3,118.2,101,0.00036721305451600003,0.076468980293018
29,29,UPZ45,1,CARVAJAL,Dcto. 251-01/08/2005 (Gaceta 377/2005),4385930.05326,0.0913474900164,0.09134749044490001,45,94062,48.4,51.6,217.9,115,0.000357155582946,0.09134749044491901
30,30,UPZ93,1,LAS NIEVES,Dcto. 492-26/10/2007,1725738.60149,0.0618513097233,0.061851309812,93,13707,54.6,45.4,90.7,53,0.000140530057251,0.061851309811982
31,31,UPZ37,1,SANTA ISABEL,Dcto. 349-15/08/2002 Mod.=Res 0071/2004 (Gaceta 290/2004),2004626.73252,0.0553962173687,0.0553962170864,37,45210,47.8,52.2,228.6,71,0.000163238860238,0.055396217086361006
32,32,UPZ49,1,APOGEO,Dcto. 180-8/06/2005 (Gaceta 366/2005),2105837.33351,0.0733639367471,0.0733639353998,49,37437,48.4,51.6,200.4,36,0.00017148113343500002,0.073363935399819
33,33,UPZ19,1,EL PRADO,"Dcto. 299-10/07/2002 (Gaceta 251/2002) Mod.=Res 820/2007, 1673/2010",4334033.58117,0.09591692798910001,0.0959169250911,19,89400,45.7,54.3,213.4,69,0.00035298577125700005,0.095916925091065
34,34,UPZ24,1,NIZA,"Dcto. 175-31/05/2006 Mod.=Dec 368/2008 (Gaceta 507/2008), Res 699/2009",7565952.98135,0.122202049635,0.122202046366,24,64562,44.9,55.1,93.7,100,0.0006162044257960001,0.122202046365859
35,35,UPZ23,1,CASA BLANCA SUBA,"Dcto. 259-19/07/2006 (Gaceta 430/2006) Mod.=Res 074/2005, 1043/2005",4204838.19456,0.09318942312720001,0.0931894228468,23,37897,46.2,53.8,90.1,50,0.00034247319464900003,0.093189422846827
36,36,UPZ110,1,CIUDAD SALITRE OCCIDENTAL,"Dcto. 326-11/10/2004 Mod.=Res 5652/2000, 443/2004, 0748/2006 (Gaceta 429/2006)",2257012.53811,0.0549786428541,0.0549786425734,110,42573,45.9,54.1,198.4,45,0.00018380531733400003,0.054978642573360006
37,37,UPZ104,1,PARQUE SIMON BOLIVAR - CAN,Dcto. 301-12/07/2011 Modifica el 254-26/08/2004,3986842.65835,0.110475974908,0.11047597435999999,104,3451,49.2,50.8,12.8,39,0.000324674421563,0.11047597435986
38,38,UPZ31,1,SANTA CECILIA,"Dcto. 152-12/05/2006 Mod.=Res 1040/2005, 037-31/01/2011,320/2008 (Gaceta 494/2008)",3085797.67892,0.0692340961443,0.0692340954586,31,64572,46.6,53.4,209.3,80,0.00025130719092200004,0.069234095458635
39,39,UPZ68,1,EL TESORO,"Dcto. 439-12/2004, 152-19/05/2005 (Gaceta 351/ 2005) Mod.=Decreto 152/2005 (Gaceta 364/2005)",2108622.10964,0.090721863692,0.0907218631063,68,48506,49.7,50.3,247.0,56,0.00017169345008400002,0.09072186310628601
40,40,UPZ64,1,MONTE BLANCO, ,6956743.76726,0.196865812146,0.196865812471,64,5574,51.0,49.0,8.9,3,0.0005664197965130001,0.19686581247079102
41,41,UPZ71,1,TIBABUYES,Dcto. 430-28/12/2004 (Gaceta 349/2005) Mod.=Res 1133/2006 (Gaceta 458/2007),7263801.4887,0.156530326021,0.15653032772699998,71,230959,48.5,51.5,494.3,157,0.0005916203814130001,0.156530327727078
42,42,UPZ29,1,MINUTO DE DIOS,"Dcto. 348-15/08/2002 Mod.=Res 221/2007, 0763/2008, 044/2009  (Gacetas 470/2007, 2008, 514/2009)",3732645.07686,0.084225572719,0.0842255723504,29,149146,47.9,52.1,426.0,68,0.000303999434379,0.084225572350395
43,43,UPZ76,1,FONTIBON SAN PABLO, ,3599678.43163,0.0872191807151,0.0872191816402,76,32717,49.7,50.3,109.4,42,0.000293164762751,0.08721918164023
44,44,UPZ3,1,GUAYMARAL, ,4536367.04291,0.107297390228,0.107297390083,3,168,50.6,49.4,0.4,7,0.000369514261819,0.107297390082803
45,45,UPZ80,1,CORABASTOS,Dcto. 263-07/07/2010,1845254.78991,0.053086558897,0.0530865578328,80,71104,50.3,49.7,402.7,30,0.00015026767263700002,0.053086557832770005
46,46,UPZ67,1,LUCERO,"Dcto. 440-12/2004 (Gaceta 352/2005), 152-19/05/2005 (Gaceta 382/2005) Mod.=Dec 152/2005 (Gaceta 364/2005)",5863865.49887,0.12185549424599999,0.121855493279,67,165246,49.3,50.7,320.2,167,0.00047746954976400006,0.12185549327931701
47,47,UPZ63,1,EL MOCHUELO, ,3167349.55972,0.0985259651064,0.0985259640059,63,1539,51.7,48.3,8.5,5,0.000257899596448,0.098525964005923
48,48,UPZ55,1,DIANA TURBAY,Dcto. 218-13/07/2005 (Gaceta 374/2005),2114331.60977,0.07121448977599999,0.0712144903052,55,80024,48.9,51.1,402.9,60,0.000172159682051,0.071214490305241
49,49,UPZ51,1,LOS LIBERTADORES,Dcto. 351-04/09/2006 (Gaceta 435/2006),3649394.85847,0.114688787418,0.114688787655,51,73747,49.0,51.0,268.9,72,0.000297147399805,0.11468878765474201
50,50,UPZ60,1,PARQUE ENTRENUBES, ,3820197.21795,0.165280309144,0.165280310647,60,2059,51.2,48.8,0.0,0,0.000341196503569,0.16528031064662901
51,51,UPZ56,1,DANUBIO,Dcto. 409-23/12/2004,2887408.65612,0.0873991280409,0.087399128861,56,38065,49.8,50.2,145.4,40,0.000235104692563,0.087399128860976
52,52,UPZ65,1,ARBORIZADORA,Dcto. 241-19/07/2005 (Gaceta 375/2005) Mod.=Res 060/2005,3062641.90866,0.14141226988,0.141412269749,65,61328,47.4,52.6,254.3,59,0.000249389077595,0.14141226974940502
53,53,UPZ2,1,LA ACADEMIA, ,6720730.80489,0.125964241618,0.125964240429,2,953,50.7,49.3,1.6,20,0.000547418215205,0.125964240428907
54,54,UPZ17,1,SAN JOSE DE BAVARIA,"Dcto. 380-23/11/2004 Mod.=Res 0806/2008 (Gaceta 506/2008), Dec 326/2009 (Gaceta 536/2009) Res 983/2009",4382731.6295,0.08527199715980001,0.0852719980986,17,48275,46.9,53.1,110.1,20,0.000356971364112,0.08527199809862901
55,55,UPZ18,1,BRITALIA,Dcto. 167-31/05/2004,3286562.31464,0.071047755566,0.0710477564226,18,59663,46.8,53.2,185.1,69,0.00026768317732700004,0.07104775642260601
56,56,UPZ26,1,LAS FERIAS,Dcto. 438-07/12/2005 (Gaceta 399/2005) Mod.=Res 223/2009 (Gaceta 516/2009),4733431.50688,0.0840959062853,0.0840959065862,26,111159,47.5,52.5,242.0,140,0.00038549248571900004,0.084095906586198
57,57,UPZ115,1,CAPELLANIA, ,2721091.55247,0.0954723381997,0.0954723400577,115,16965,47.8,52.2,68.4,38,0.00022160603265300002,0.09547234005772301
58,58,UPZ50,1,LA GLORIA,Dcto. 407-23/12/2004,3858577.59339,0.123815638587,0.12381563589899999,50,101969,48.5,51.5,303.7,69,0.00031418584362,0.12381563589944201
59,59,UPZ20,1,LA ALHAMBRA,Dcto. 397-15/12/2004,2847741.17529,0.0637683171963,0.0637683176579,20,36087,43.5,56.5,130.3,41,0.000231926229076,0.063768317657913
60,60,UPZ79,1,CALANDAIMA, ,3189343.87072,0.0870583761619,0.0870583768502,79,71555,48.0,52.0,265.3,77,0.00025972953864,0.087058376850159
61,61,UPZ61,1,CIUDAD USME, ,9254733.37951,0.24237401459,0.24237401303699999,61,14087,49.4,50.6,22.4,31,0.0007535021502460001,0.24237401303723702
62,62,UPZ12,1,TOBERIN,"Dcto. 264-23/06/2011 Modifica el 199-23/05/2002 Mod.=Res 646/2005, Decreto 399/2009",2906631.4686,0.0645049351155,0.0645049331388,12,52276,46.2,53.8,185.9,53,0.00023673658614500003,0.064504933138774
63,63,UPZ10,1,LA URIBE,Dcto. 613-29/12/2006 Mod.=Res 1134/2006,3452642.542,0.100838650004,0.100838649383,10,17387,46.3,53.7,52.1,44,0.00028121108456900004,0.10083864938284401
64,64,UPZ59,1,ALFONSO LOPEZ,Dcto. 405-23/12/2004,2164934.2975,0.0699582530565,0.0699582528028,59,58473,49.6,50.4,296.7,45,0.000176268016389,0.06995825280275701
65,65,UPZ58,1,COMUNEROS,"Dcto. 431- 12/2004 (Gaceta 350/2005) Mod.=Res 820/2006,0520/2008 (Gacetas 438/2006,499/2008)",4930356.19032,0.117639249877,0.117639248696,58,89771,49.1,50.9,233.9,78,0.000401432213237,0.11763924869587
