Unnamed: 0,Country,Year,GDP Growth Rates,Exajoules,pct_chn_exa
1083,Malaysia,1984,0.0776179012218883,0.6244979628379929,0.0777189203686998
1084,Malaysia,1985,-0.010252502534207,0.6187815821863799,-0.0091535617276239
1085,Malaysia,1986,0.0124059492750687,0.6791715959290323,0.0975950407723393
1086,Malaysia,1987,0.0519193211272702,0.700305135191398,0.0311166417869069
1087,Malaysia,1988,0.0993771967651989,0.7365694475338114,0.0517835876392682
1088,Malaysia,1989,0.090596008665043,0.8243724004712069,0.1192052605920299
1089,Malaysia,1990,0.0900852713774627,0.8675478700776584,0.0523737446592979
1091,Malaysia,1992,0.0888511797832156,1.2259957852903227,0.1281637683988274
1092,Malaysia,1993,0.0989494333377064,1.2330526982419356,0.0057560662412405
1093,Malaysia,1994,0.0921204179334867,1.3094539038451614,0.0619610221948803
1094,Malaysia,1995,0.0982908519730812,1.432624210403226,0.0940623462928933
1095,Malaysia,1996,0.100027006861844,1.5993832121290326,0.1164010774876342
1096,Malaysia,1997,0.0732274185035923,1.855624956564516,0.1602128511117638
1097,Malaysia,1998,-0.0735941518817556,1.783588196170968,-0.0388207542363066
1098,Malaysia,1999,0.0613761201057692,1.9059427352645164,0.0686002180078455
1099,Malaysia,2000,0.0885886816969386,2.200662111508065,0.1546318106995201
1100,Malaysia,2001,0.0051767531919286,2.253251277641014,0.0238969743959969
1101,Malaysia,2002,0.0539098830692797,2.3728936148756503,0.0530976453544467
1102,Malaysia,2003,0.057884992858875,2.5709180805781644,0.0834527365496289
1103,Malaysia,2004,0.0678343772370305,2.7778134695103764,0.0804752942130633
1104,Malaysia,2005,0.0533213916141485,3.006328395883422,0.0822643164781413
1105,Malaysia,2006,0.055848470671515,3.041205238516677,0.0116011420046496
1106,Malaysia,2007,0.0629878592740947,3.243930674375807,0.0666595707818811
1107,Malaysia,2008,0.0483176988913097,3.358027036049139,0.0351722564771783
1108,Malaysia,2009,-0.0151352871598714,3.2517459775688176,-0.0316498519337014
1109,Malaysia,2010,0.0742484738326097,3.3573925054880616,0.0324891700175888
1110,Malaysia,2011,0.0529391283414003,3.415949537999941,0.0174412233351211
1111,Malaysia,2012,0.0547345419253853,3.7370890373741936,0.0940117808538475
1112,Malaysia,2013,0.0469372252557893,3.911032123654644,0.0465450741314605
1113,Malaysia,2014,0.0600672194558203,3.950237207386517,0.0100242295364321
1114,Malaysia,2015,0.0509153242155011,4.011648435590784,0.0155462127918379
1115,Malaysia,2016,0.0444978139761541,4.22210545346801,0.0524614809239216
1116,Malaysia,2017,0.0581272240983328,4.278065060048387,0.0132539575804324
1117,Malaysia,2018,0.0484308697634881,4.354111243573176,0.0177758361449342
1118,Malaysia,2019,0.0443943825144627,4.46952054473382,0.0265058228199825
1119,Malaysia,2020,-0.0564693993202584,4.102116331148217,-0.0822021534319815
1120,Mexico,1981,0.085256066627137,3.607493526698476,0.1056553472401072
1121,Mexico,1982,-0.0052080804216592,3.7595315625146526,0.042145061298369
1122,Mexico,1983,-0.0348642180320594,3.7175269413998544,-0.0111728337470592
1123,Mexico,1984,0.0341081413565874,3.890974369352924,0.0466566700624251
1124,Mexico,1985,0.0218769311609002,4.083826025730738,0.0495638464999411
1125,Mexico,1986,-0.0307895537553988,3.9624277693344254,-0.029726598447491
1126,Mexico,1987,0.0172243931218685,4.0928374860350125,0.0329115694448332
1127,Mexico,1988,0.0128326099671234,4.123673239146475,0.007534077083851
1128,Mexico,1989,0.0410550933040297,4.355385995546756,0.0561908626029351
1129,Mexico,1990,0.0517576838681073,4.581670531655554,0.051955104861008
1130,Mexico,1991,0.0421475483853031,4.75869245133334,0.0386369815233791
1131,Mexico,1992,0.0354110241594962,4.843727477619825,0.0178694099600109
1132,Mexico,1993,0.0194115584773009,4.86850781420492,0.0051159642443945
1133,Mexico,1994,0.0494108067568743,5.143297948558788,0.0564423730721164
1134,Mexico,1995,-0.0629123082110117,5.068147770951997,-0.0146112821692253
1135,Mexico,1996,0.0677325869445046,5.22896336348822,0.0317306439756817
1136,Mexico,1997,0.0684685227862427,5.315580669690036,0.0165649097499189
1137,Mexico,1998,0.0516392516795145,5.550156700541421,0.0441298976401506
1138,Mexico,1999,0.0275355424748236,5.625112633286326,0.0135051921574742
1139,Mexico,2000,0.0494245371467422,5.889787045247094,0.0470522866323726
1140,Mexico,2001,-0.0040439012669284,5.815412671316943,-0.0126276847293094
1141,Mexico,2002,-0.0003984448146853,5.997982749429987,0.0313941741423657
1142,Mexico,2003,0.014463826837036,6.044984833714598,0.0078363153493694
1143,Mexico,2004,0.0392059081028791,6.372828091384555,0.0542339255909265
1144,Mexico,2005,0.0230780706591736,6.782949181946169,0.06435464517175
1145,Mexico,2006,0.0449507789421408,6.998350441895687,0.0317562839071299
1146,Mexico,2007,0.0229144571429801,7.032896486188441,0.0049363124324188
1147,Mexico,2008,0.0114358458719401,7.187125474885182,0.0219296543038312
1148,Mexico,2009,-0.0528574413681751,7.122738964299186,-0.0089585900247587
1149,Mexico,2010,0.0511811814321163,7.336261125925864,0.0299775357059832
1150,Mexico,2011,0.0366300792950094,7.687863079423568,0.0479265865081011
1151,Mexico,2012,0.0364232267941347,7.731667638145691,0.0056978848699016
1152,Mexico,2013,0.0135409196151679,7.763674973615933,0.0041397712587032
1153,Mexico,2014,0.0284977325490688,7.729461955838955,-0.0044068070718116
1154,Mexico,2015,0.0329315152833387,7.719363281798594,-0.0013065170768752
1155,Mexico,2016,0.0263053242455089,7.81850486716358,0.0128432335343966
1156,Mexico,2017,0.0211312913549694,7.932166339217925,0.0145374945703116
1157,Mexico,2018,0.0219499472522698,7.897639554917999,-0.0043527559588885
1158,Mexico,2019,-0.0018590678837252,7.581279295492327,-0.0400575712813671
1160,Morocco,1981,-0.0174343493044301,0.2122209326408961,-0.030032716361006
1161,Morocco,1982,0.0895737202264261,0.2186981306928191,0.0305210139797246
1162,Morocco,1983,0.0138656957718641,0.2245361180187418,0.0266942717225262
1163,Morocco,1984,0.0641838632127606,0.2275341468169769,0.0133521004312757
1164,Morocco,1985,0.0600765207156169,0.2350899801630967,0.0332074699636077
1165,Morocco,1986,0.0927110576947607,0.2431265323336774,0.0341850050989207
1166,Morocco,1987,-0.0032500407571899,0.2504342081005161,0.0300570887788148
1167,Morocco,1988,0.118752359788077,0.2645526252757419,0.0563757534655935
1168,Morocco,1989,0.0284620258129334,0.2910494351249032,0.1001570474741793
1169,Morocco,1990,0.034118122263138,0.2979207406821935,0.0236087232203061
1170,Morocco,1991,0.0721608816138237,0.3016937132099355,0.0126643499848395
1171,Morocco,1992,-0.0209773876147652,0.3376055338198709,0.1190340369636604
1172,Morocco,1993,-0.0074059169202217,0.3411572206436128,0.0105202269155841
1173,Morocco,1994,0.105880004006168,0.376035934663871,0.1022364819201464
1174,Morocco,1995,-0.0540544786715996,0.3688266031523871,-0.0191719217418092
1175,Morocco,1996,0.123728762760077,0.3856088299651613,0.0455016711629132
1176,Morocco,1997,-0.0156070235606454,0.4008736509517419,0.0395862848575322
1177,Morocco,1998,0.0723855268965383,0.4111621087489032,0.0256650886700453
1178,Morocco,1999,0.0108133256173805,0.4265712677805161,0.0374770892154929
1179,Morocco,2000,0.0191287298063767,0.4228681389210322,-0.0086811492924772
1180,Morocco,2001,0.0731996745420717,0.4568596176249585,0.0803831633914466
1181,Morocco,2002,0.0312144965600538,0.4682208463417275,0.0248680957529836
1182,Morocco,2003,0.0596116215478284,0.469514902982201,0.0027637740834994
1183,Morocco,2004,0.0479701836216324,0.53469130416481,0.1388164694424614
1184,Morocco,2005,0.0329163968433596,0.5799151498346018,0.084579355073731
1185,Morocco,2006,0.0757463164458541,0.5916925019932502,0.0203087506198234
1186,Morocco,2007,0.0353159415154489,0.5863805227307096,-0.0089776011097757
1187,Morocco,2008,0.0592327768597593,0.6472448405196034,0.1037966225505842
1188,Morocco,2009,0.0424375732083367,0.6314960184491424,-0.0243320936445287
1189,Morocco,2010,0.038157179167666,0.7003882780881132,0.1090937355522203
1190,Morocco,2011,0.0524569729729485,0.7352495017246027,0.0497741391841279
1191,Morocco,2012,0.0300996126221978,0.74785589115395,0.0171457299865933
1192,Morocco,2013,0.0453542420003856,0.7679371331038386,0.026851753375778
1193,Morocco,2014,0.0266949392694423,0.7789760391650471,0.0143747522881092
1194,Morocco,2015,0.0453637816806425,0.7933909542776605,0.018504953153712
1195,Morocco,2016,0.0105985639008179,0.8021891187756518,0.0110893178836423
1196,Morocco,2017,0.0425460327324099,0.8399263304894565,0.0470427868323637
1197,Morocco,2018,0.03148502655914,0.8690227579511469,0.0346416422553805
1198,Morocco,2019,0.0260793549462446,0.9484956886613104,0.0914509199937789
1199,Morocco,2020,-0.0629325315954672,0.8643931724239978,-0.0886693711344258
1200,Netherlands,1981,-0.0078361170741607,2.977560014678484,-0.0517030760748193
1201,Netherlands,1982,-0.0124075659270838,2.7518971671647523,-0.0757878418575211
1202,Netherlands,1983,0.0206995788790062,2.765040649747488,0.0047761532442278
