date,state,city,lat,lon,priceMax,priceMin,priceMod,quantity,year
1998-01-01,MS,SINNAR,19.8530593,74.00063279999999,1538.0,223.0,1081.0,35418.0,1998.0
1998-02-01,MS,CHAKAN,18.7602664,73.86303459999999,1142.0,175.0,775.0,26300.0,1998.0
1998-02-01,MS,LASALGAON,20.1491422,74.2326058,1126.0,267.0,920.0,152960.0,1998.0
1998-02-01,MS,LONAND,18.041706,74.1861821,1053.0,438.0,731.0,16250.0,1998.0
1998-02-01,MS,MANMAD,20.2511789,74.43660159999999,1048.0,351.0,828.0,63165.0,1998.0
1998-02-01,MS,NIPHAD,20.0799646,74.10931409999999,878.0,163.0,750.0,3531.0,1998.0
1998-02-01,MS,PIMPALGAON,20.1699678,73.98737870000001,1151.0,581.0,919.0,186566.0,1998.0
1998-02-01,MS,SAIKHEDA,22.962215,78.5831181,1024.0,472.0,765.0,15704.0,1998.0
1998-02-01,MS,SINNAR,19.8530593,74.00063279999999,1076.0,221.0,888.0,58060.0,1998.0
1998-03-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,459.0,309.0,423.0,190900.0,1998.0
1998-03-01,MS,CHAKAN,18.7602664,73.86303459999999,419.0,184.0,331.0,130900.0,1998.0
1998-03-01,MS,LASALGAON,20.1491422,74.2326058,486.0,152.0,417.0,281027.0,1998.0
1998-03-01,MS,LONAND,18.041706,74.1861821,397.0,293.0,355.0,75000.0,1998.0
1998-03-01,MS,MANMAD,20.2511789,74.43660159999999,510.0,231.0,405.0,129141.0,1998.0
1998-03-01,MS,NIPHAD,20.0799646,74.10931409999999,507.0,163.0,463.0,11450.0,1998.0
1998-03-01,MS,PIMPALGAON,20.1699678,73.98737870000001,535.0,326.0,454.0,249063.0,1998.0
1998-03-01,MS,SAIKHEDA,22.962215,78.5831181,474.0,303.0,387.0,25545.0,1998.0
1998-03-01,MS,SINNAR,19.8530593,74.00063279999999,414.0,74.0,359.0,40010.0,1998.0
1998-04-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,299.0,187.0,260.0,92000.0,1998.0
1998-04-01,GUJ,MAHUVA,21.0902193,71.75631690000002,299.0,181.0,256.0,251800.0,1998.0
1998-04-01,MS,CHAKAN,18.7602664,73.86303459999999,281.0,199.0,253.0,36750.0,1998.0
1998-04-01,MS,LASALGAON,20.1491422,74.2326058,318.0,76.0,258.0,119035.0,1998.0
1998-04-01,MS,LONAND,18.041706,74.1861821,290.0,255.0,265.0,25000.0,1998.0
1998-04-01,MS,MANMAD,20.2511789,74.43660159999999,275.0,142.0,217.0,50600.0,1998.0
1998-04-01,MS,NIPHAD,20.0799646,74.10931409999999,304.0,67.0,237.0,3900.0,1998.0
1998-04-01,MS,PIMPALGAON,20.1699678,73.98737870000001,316.0,166.0,235.0,36792.0,1998.0
1998-04-01,MS,SAIKHEDA,22.962215,78.5831181,269.0,156.0,225.0,13190.0,1998.0
1998-04-01,MS,SINNAR,19.8530593,74.00063279999999,272.0,38.0,227.0,11150.0,1998.0
1998-05-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,325.0,150.0,200.0,2500.0,1998.0
1998-05-01,GUJ,MAHUVA,21.0902193,71.75631690000002,331.0,199.0,268.0,99975.0,1998.0
1998-05-01,MS,CHAKAN,18.7602664,73.86303459999999,382.0,208.0,337.0,19785.0,1998.0
1998-05-01,MS,LASALGAON,20.1491422,74.2326058,381.0,97.0,321.0,233819.0,1998.0
1998-05-01,MS,LONAND,18.041706,74.1861821,406.0,325.0,375.0,5000.0,1998.0
1998-05-01,MS,MANMAD,20.2511789,74.43660159999999,318.0,181.0,278.0,60430.0,1998.0
1998-05-01,MS,NIPHAD,20.0799646,74.10931409999999,340.0,135.0,298.0,32315.0,1998.0
1998-05-01,MS,PIMPALGAON,20.1699678,73.98737870000001,381.0,207.0,297.0,231145.0,1998.0
1998-05-01,MS,SAIKHEDA,22.962215,78.5831181,337.0,216.0,295.0,32779.0,1998.0
1998-05-01,MS,SINNAR,19.8530593,74.00063279999999,343.0,50.0,301.0,25018.0,1998.0
1998-06-01,GUJ,MAHUVA,21.0902193,71.75631690000002,490.0,327.0,435.0,8679.0,1998.0
1998-06-01,MS,CHAKAN,18.7602664,73.86303459999999,699.0,256.0,619.0,16790.0,1998.0
1998-06-01,MS,LASALGAON,20.1491422,74.2326058,703.0,158.0,583.0,272471.0,1998.0
1998-06-01,MS,LONAND,18.041706,74.1861821,607.0,483.0,547.0,860.0,1998.0
1998-06-01,MS,MANMAD,20.2511789,74.43660159999999,625.0,292.0,531.0,71217.0,1998.0
1998-06-01,MS,NIPHAD,20.0799646,74.10931409999999,610.0,294.0,549.0,30774.0,1998.0
1998-06-01,MS,PIMPALGAON,20.1699678,73.98737870000001,682.0,435.0,576.0,188485.0,1998.0
1998-06-01,MS,SAIKHEDA,22.962215,78.5831181,744.0,346.0,637.0,24137.0,1998.0
1998-06-01,MS,SINNAR,19.8530593,74.00063279999999,719.0,112.0,622.0,25847.0,1998.0
1998-07-01,GUJ,MAHUVA,21.0902193,71.75631690000002,805.0,453.0,751.0,13885.0,1998.0
1998-07-01,MS,CHAKAN,18.7602664,73.86303459999999,950.0,439.0,876.0,17200.0,1998.0
1998-07-01,MS,LASALGAON,20.1491422,74.2326058,932.0,263.0,844.0,158223.0,1998.0
1998-07-01,MS,LONAND,18.041706,74.1861821,870.0,680.0,775.0,425.0,1998.0
1998-07-01,MS,MANMAD,20.2511789,74.43660159999999,896.0,588.0,833.0,25923.0,1998.0
1998-07-01,MS,NIPHAD,20.0799646,74.10931409999999,897.0,590.0,840.0,11525.0,1998.0
1998-07-01,MS,PIMPALGAON,20.1699678,73.98737870000001,935.0,691.0,870.0,100632.0,1998.0
1998-07-01,MS,SAIKHEDA,22.962215,78.5831181,881.0,549.0,833.0,12236.0,1998.0
1998-07-01,MS,SINNAR,19.8530593,74.00063279999999,907.0,330.0,840.0,17898.0,1998.0
