Unnamed: 0,Date,type,value,area
105,01-Oct-06,northwest_error,-0.62224579,Northwest
106,01-Oct-06,westmidlands_error,1.190979,Westmidlands
107,01-Oct-06,london_error,-1.4578018,London
108,01-Oct-06,southwest_error,0.20869446,Southwest
109,01-Oct-06,england_error,-0.22237396,England
110,01-Nov-06,northwest_error,-0.31809998,Northwest
111,01-Nov-06,westmidlands_error,1.2692566,Westmidlands
112,01-Nov-06,london_error,-1.4443283,London
113,01-Nov-06,southwest_error,0.35626984,Southwest
114,01-Nov-06,england_error,-0.17817688,England
115,01-Dec-06,northwest_error,-0.31086731,Northwest
116,01-Dec-06,westmidlands_error,1.4514618,Westmidlands
117,01-Dec-06,london_error,-1.6248322,London
118,01-Dec-06,southwest_error,0.50875854,Southwest
119,01-Dec-06,england_error,-0.12895203,England
120,01-Jan-07,northwest_error,-0.1067276,Northwest
121,01-Jan-07,westmidlands_error,1.5297394,Westmidlands
122,01-Jan-07,london_error,-1.611351,London
123,01-Jan-07,southwest_error,0.55633545,Southwest
124,01-Jan-07,england_error,-0.084747314,England
125,01-Feb-07,northwest_error,-0.20258331,Northwest
126,01-Feb-07,westmidlands_error,1.40802,Westmidlands
127,01-Feb-07,london_error,-1.5978699,London
128,01-Feb-07,southwest_error,0.7039032,Southwest
129,01-Feb-07,england_error,-0.040550232,England
130,01-Mar-07,northwest_error,0.11083984,Northwest
131,01-Mar-07,westmidlands_error,1.3980789,Westmidlands
132,01-Mar-07,london_error,-1.5663376,London
133,01-Mar-07,southwest_error,0.8662262,Southwest
134,01-Mar-07,england_error,0.018737793,England
135,01-Apr-07,northwest_error,0.31497955,Northwest
136,01-Apr-07,westmidlands_error,1.2763596,Westmidlands
137,01-Apr-07,london_error,-1.3528671,London
138,01-Apr-07,southwest_error,0.71379852,Southwest
139,01-Apr-07,england_error,0.062934875,England
140,01-May-07,northwest_error,0.5222168,Northwest
141,01-May-07,westmidlands_error,1.2585754,Westmidlands
142,01-May-07,london_error,-1.4333649,London
143,01-May-07,southwest_error,0.86629486,Southwest
144,01-May-07,england_error,0.1121521,England
145,01-Jun-07,northwest_error,0.42636108,Northwest
146,01-Jun-07,westmidlands_error,1.336853,Westmidlands
147,01-Jun-07,london_error,-1.2198944,London
148,01-Jun-07,southwest_error,1.0138626,Southwest
149,01-Jun-07,england_error,0.056358337,England
150,01-Jul-07,northwest_error,0.43359375,Northwest
151,01-Jul-07,westmidlands_error,1.5190582,Westmidlands
152,01-Jul-07,london_error,-1.1004028,London
153,01-Jul-07,southwest_error,1.1663513,Southwest
154,01-Jul-07,england_error,0.20558167,England
155,01-Aug-07,northwest_error,0.73773956,Northwest
156,01-Aug-07,westmidlands_error,1.6973343,Westmidlands
157,01-Aug-07,london_error,-0.98691559,London
158,01-Aug-07,southwest_error,1.4139252,Southwest
159,01-Aug-07,england_error,0.34978485,England
160,01-Sep-07,northwest_error,0.84187317,Northwest
161,01-Sep-07,westmidlands_error,1.6756134,Westmidlands
162,01-Sep-07,london_error,-0.8734436,London
163,01-Sep-07,southwest_error,1.4614944,Southwest
164,01-Sep-07,england_error,0.49398041,England
165,01-Oct-07,northwest_error,1.049118,Northwest
166,01-Oct-07,westmidlands_error,1.7578278,Westmidlands
167,01-Oct-07,london_error,-0.7539444,London
168,01-Oct-07,southwest_error,1.6139908,Southwest
169,01-Oct-07,england_error,0.54321289,England
170,01-Nov-07,northwest_error,0.9532547,Northwest
171,01-Nov-07,westmidlands_error,1.9361038,Westmidlands
